구분1,평일,토요일,일요일
서울," 1,296 "," 1,289 "," 1,286 "
부산," 1,245 "," 1,250 "," 1,252 "
대구," 1,228 "," 1,240 "," 1,241 "
인천," 1,303 "," 1,311 "," 1,323 "
광주," 1,194 "," 1,203 "," 1,205 "
대전," 1,217 "," 1,221 "," 1,222 "
울산," 1,214 "," 1,243 "," 1,254 "
세종," 1,474 "," 1,465 "," 1,468 "
경기," 1,551 "," 1,548 "," 1,550 "
강원," 1,250 "," 1,290 "," 1,308 "
충북," 1,370 "," 1,390 "," 1,401 "
충남," 1,381 "," 1,432 "," 1,452 "
전북," 1,223 "," 1,232 "," 1,238 "
전남," 1,356 "," 1,364 "," 1,375 "
경북," 1,243 "," 1,265 "," 1,273 "
경남," 1,393 "," 1,414 "," 1,422 "
제주," 1,184 "," 1,215 "," 1,233 "
